"","ucr","geometry"
"1","0430",c(-118.480440256792, 34.0102293371227)
"2","0951",c(-118.494990333467, 34.0217920217911)
"3","0440",c(-118.48013485105, 34.0200312934469)
"4","0430",c(-118.48013485105, 34.0200312934469)
"5","0440",c(-118.510247337648, 34.0298345593716)
"6","0430",c(-118.47219371461, 34.0420199232471)
"7","0430",c(-118.490276627696, 34.017760077477)
"8","0341",c(-118.491679294693, 34.0244767913121)
"9","0420",c(-118.497657874453, 34.0169945419388)
"10","0321",c(-118.493911093459, 34.0122073144665)
"11","0440",c(-118.480560015922, 34.0196861290151)
"12","0430",c(-118.484361803861, 34.0082482982442)
"13","0440",c(-118.491532904819, 34.018044910612)
"14","0990",c(-118.480838433624, 34.0033192947196)
"15","0420",c(-118.479542002293, 34.029065058267)
"16","0440",c(-118.49058730599, 34.0188117996826)
"17","0440",c(-118.470821164834, 34.0258473126354)
"18","0440",c(-118.491837331653, 34.0230300640781)
"19","0344",c(-118.496885966628, 34.0202622227772)
"20","0342",c(-118.489318901187, 34.0263923457027)
"21","0420",c(-118.475400414906, 34.0142249316729)
"22","0440",c(-118.475376445283, 34.0272240706255)
"23","0440",c(-118.496873131766, 34.016322025172)
"24","0410",c(-118.470529224343, 34.0205555831448)
"25","0430",c(-118.496563172761, 34.0152648816718)
"26","0331",c(-118.4935817598, 34.0150751664411)
"27","2600",c(-118.483349753545, 34.0220765046462)
"28","0440",c(-118.498452403388, 34.0176706307731)
"29","0420",c(-118.462420704711, 34.0306672931293)
"30","0440",c(-118.499439014723, 34.0208728372876)
"31","0341",c(-118.475084641611, 34.0339732100756)
"32","0430",c(-118.494518524292, 34.0221770684605)
"33","0440",c(-118.496478842128, 34.0101238105914)
"34","2000",c(-118.49293763863, 34.009757483097)
"35","0342",c(-118.495307352092, 34.0149807161068)
"36","0430",c(-118.497222599701, 34.0134242905622)
"37","0347",c(-118.498792334827, 34.0147642837324)
"38","0440",c(-118.492788319213, 34.0183294751187)
"39","0420",c(-118.471193951301, 34.022682059718)
"40","0341",c(-118.480488210094, 34.0282966146773)
"41","0981",c(-118.467251669609, 34.035108311148)
"42","0990",c(-118.468195895573, 34.0382628166876)
"43","0341",c(-118.494876121031, 34.0114216568401)
"44","0341",c(-118.50165326568, 34.0204007065865)
"45","0921",c(-118.493463981861, 34.0283637173596)
"46","0440",c(-118.470443760979, 34.0189576231837)
"47","0440",c(-118.486475368612, 34.0247497931516)
"48","0440",c(-118.465646120259, 34.0226519861613)
"49","0440",c(-118.497657874453, 34.0169945419388)
"50","0420",c(-118.488156474274, 34.0090124890469)
"51","0341",c(-118.493915365194, 34.0092119487104)
"52","0410",c(-118.460279198821, 34.0290610253096)
"53","0347",c(-118.494876121031, 34.0114216568401)
"54","0344",c(-118.490276627696, 34.017760077477)
"55","0420",c(-118.470443760979, 34.0189576231837)
"56","0341",c(-118.488156474274, 34.0090124890469)
"57","0440",c(-118.476543236822, 34.0194000395748)
"58","0420",c(-118.498303693936, 34.0191127706471)
