"","incident_number","incident_date","call_type_description","location","reporting_district","station","received","cleared","disposition","latitude","longitude","map_point.latitude","map_point.longitude"
"1","21002508",2021-03-01,"Emergency Medical Service (EMS)","800BLK 11TH ST","E-6","Station 1 ",2021-03-01 00:08:09,2021-03-01 00:32:30,"Report              ","34.029223604166887","-118.49723006236521","34.0292236041669","-118.497230062365"
"2","21002510",2021-03-01,"Emergency Medical Service (EMS)","1100BLK 5TH ST","E-6","Station 1 ",2021-03-01 02:04:03,2021-03-01 02:28:45,"Report              ","34.020567738790696","-118.49816517970427","34.0205677387907","-118.498165179704"
"3","21002515",2021-03-01,"Emergency Medical Service (EMS)","900BLK 4TH ST","E-6","Station 1 ",2021-03-01 08:09:25,2021-03-01 08:40:46,"Report              ","34.022516581393546","-118.50228672396614","34.0225165813935","-118.502286723966"
"4","21002518",2021-03-01,"Emergency Medical Service (EMS)","1300BLK 15TH ST ","E-3","Station 3 ",2021-03-01 09:00:59,2021-03-01 09:38:48,"Report              ","34.025516261530782","-118.48552775399021","34.0255162615308","-118.48552775399"
"5","21002520",2021-03-01,"Emergency Medical Service (EMS)","1300BLK WILSHIRE BLVD ","E-4","Station 3 ",2021-03-01 10:30:00,2021-03-01 10:47:35,"Report              ","34.0263923457027","-118.48931890118743","34.0263923457027","-118.489318901187"
"6","21002519",2021-03-01,"Emergency Medical Service (EMS)","2200BLK 29TH ST","E-5N","Station 5 ",2021-03-01 10:04:22,2021-03-01 10:54:00,"Report              ","34.024323321155507","-118.45904274087889","34.0243233211555","-118.459042740879"
"7","21002521",2021-03-01,"Emergency Medical Service (EMS)","900BLK EUCLID ST","E-4","Station 3 ",2021-03-01 11:07:57,2021-03-01 11:33:57,"Report              ","34.02941641164837","-118.49377469772365","34.0294164116484","-118.493774697724"
"8","21002522",2021-03-01,"Emergency Medical Service (EMS)","1600BLK ARIZONA AVE","E-4","Station 3 ",2021-03-01 11:58:03,2021-03-01 12:31:25,"Report              ","34.027297321901671","-118.48493802179605","34.0272973219017","-118.484938021796"
"9","21002523",2021-03-01,"Emergency Medical Service (EMS)","2500BLK SANTA MONICA BLVD ","E-3","Station 3 ",2021-03-01 12:12:54,2021-03-01 12:34:29,"Report              ","34.032626775197777","-118.47513953493699","34.0326267751978","-118.475139534937"
"10","21002525",2021-03-01,"Emergency Medical Service (EMS)","1200BLK 9TH ST","E-6","Station 1 ",2021-03-01 12:17:38,2021-03-01 12:34:34,"Report              ","34.022261536680062","-118.49278024535869","34.0222615366801","-118.492780245359"
